variable,type,bytes,dims,sdgspec
/FootprintGeometry/footprint_altitude,float,32,3,Yes
/FootprintGeometry/footprint_latitude,float,32,3,Yes
/FootprintGeometry/footprint_longitude,float,32,3,Yes
/FootprintGeometry/footprint_land_fraction,float,32,3,Yes
/FootprintGeometry/footprint_solar_azimuth,float,32,3,Yes
/FootprintGeometry/footprint_solar_zenith,float,32,3,Yes
/FootprintGeometry/footprint_azimuth,float,32,3,Yes
/FootprintGeometry/footprint_zenith,float,32,3,Yes
/FootprintGeometry/footprint_time_tai93,float,64,3,Yes
/FootprintGeometry/footprint_stokes_coefficients,float,32,4,Yes
/InstrumentHeader/dispersion_coef_samp,float,64,3,No
/InstrumentHeader/bad_sample_list,float,64,3,No
/InstrumentHeader/snr_coef,float,64,4,No
/InstrumentHeader/ils_delta_lambda,float,64,4,No
/InstrumentHeader/ils_relative_response,float,64,4,No
/SoundingGeometry/sounding_relative_velocity,float,32,2,Yes
/SoundingGeometry/sounding_land_fraction,float,32,2,Yes
/SoundingGeometry/sounding_solar_distance,float,32,2,Yes
/SoundingGeometry/sounding_solar_relative_velocity,float,32,2,Yes
/SoundingGeometry/sounding_land_water_indicator,integer,8,2,Yes
